,fairness_method,model,precision,recall,auc,stat_par,eq_odds,zero_one_loss,disp_imp,ao,tpr_diff,fpr_diff,acc,hmean
0,rej,logreg,0.493,0.814,0.769,0.033,0.32,0.052,0.921,-0.132,-0.092,-0.086,0.746,0.787
1,rej,gradient_class,0.482,0.814,0.76,0.025,0.312,0.073,0.935,-0.154,-0.101,-0.103,0.733,0.782
2,rej,forest,0.474,0.746,0.74,0.053,0.279,0.017,0.867,-0.158,-0.205,-0.055,0.737,0.779
3,demv,gradient_class,0.71,0.512,0.722,0.083,0.169,0.117,0.591,-0.089,-0.217,0.02,0.831,0.768
4,demv,logreg,0.7,0.538,0.732,0.102,0.147,0.116,0.537,-0.024,-0.12,0.036,0.832,0.768
5,grid,logreg,0.718,0.502,0.719,0.077,0.177,0.117,0.604,-0.057,-0.154,0.02,0.831,0.768
6,grid,gradient_class,0.722,0.478,0.709,0.064,0.177,0.123,0.65,-0.105,-0.232,0.01,0.829,0.764
7,eg,logreg,0.694,0.476,0.704,0.016,0.27,0.105,0.906,-0.159,-0.279,-0.02,0.822,0.762
8,eg,gradient_class,0.704,0.452,0.696,0.016,0.26,0.114,0.904,-0.185,-0.325,-0.023,0.821,0.757
9,eg,forest,0.476,0.545,0.676,0.014,0.372,0.026,0.917,-0.065,-0.061,-0.035,0.744,0.749
10,eg,tree,0.438,0.561,0.665,0.008,0.346,0.018,0.946,-0.111,-0.05,-0.086,0.719,0.745
11,demv,forest,0.603,0.5,0.697,0.157,0.092,0.153,0.381,0.1,-0.002,0.101,0.799,0.701
12,demv,tree,0.536,0.507,0.683,0.156,0.158,0.138,0.446,0.112,0.023,0.1,0.774,0.701
13,rej,tree,0.525,0.54,0.692,0.184,0.157,0.143,0.405,0.142,0.042,0.121,0.77,0.688
14,grid,tree,0.533,0.534,0.692,0.188,0.142,0.151,0.385,0.138,-0.007,0.142,0.773,0.683
15,dir,logreg,0.697,0.566,0.743,0.185,0.091,0.121,0.283,0.165,0.135,0.097,0.835,0.678
16,No method,logreg,0.697,0.565,0.743,0.185,0.091,0.121,0.282,0.165,0.135,0.097,0.835,0.677
17,reweighing,logreg,0.697,0.565,0.743,0.185,0.091,0.121,0.282,0.165,0.135,0.097,0.835,0.677
18,reweighing,tree,0.531,0.544,0.695,0.198,0.147,0.152,0.37,0.143,0.043,0.122,0.773,0.676
19,No method,tree,0.531,0.546,0.696,0.199,0.147,0.151,0.369,0.16,0.077,0.122,0.773,0.676
20,No method,gradient_class,0.712,0.522,0.727,0.168,0.076,0.125,0.28,0.122,0.085,0.079,0.833,0.675
21,reweighing,gradient_class,0.712,0.522,0.727,0.168,0.076,0.125,0.28,0.122,0.085,0.079,0.833,0.675
22,dir,gradient_class,0.712,0.522,0.727,0.168,0.078,0.126,0.279,0.12,0.086,0.077,0.833,0.674
23,dir,tree,0.53,0.544,0.695,0.203,0.15,0.152,0.358,0.176,0.082,0.135,0.772,0.67
24,meta,gradient_class,0.484,0.816,0.762,0.277,0.457,0.137,0.465,0.321,0.039,0.301,0.734,0.662
25,grid,forest,0.595,0.524,0.705,0.197,0.119,0.159,0.293,0.159,0.043,0.138,0.798,0.657
26,reweighing,forest,0.597,0.527,0.706,0.198,0.12,0.158,0.291,0.195,0.107,0.141,0.799,0.657
27,dir,forest,0.594,0.526,0.705,0.199,0.122,0.159,0.291,0.181,0.067,0.148,0.798,0.656
28,No method,forest,0.595,0.524,0.705,0.198,0.121,0.158,0.289,0.178,0.07,0.143,0.798,0.655
29,gerry,tree,0.824,0.257,0.62,0.074,0.084,0.15,0.257,0.027,0.011,0.022,0.806,0.596
30,gerry,logreg,0.824,0.257,0.62,0.074,0.084,0.15,0.257,0.027,0.011,0.022,0.806,0.596
31,gerry,forest,0.824,0.257,0.62,0.074,0.084,0.15,0.257,0.027,0.011,0.022,0.806,0.596
32,gerry,gradient_class,0.824,0.257,0.62,0.074,0.084,0.15,0.257,0.027,0.011,0.022,0.806,0.596
33,meta,forest,0.528,0.715,0.731,0.248,0.491,0.149,0.354,0.295,0.034,0.277,0.738,0.552
34,meta,logreg,0.428,0.611,0.689,0.176,0.378,0.15,0.333,0.223,0.017,0.215,0.729,0.542
35,meta,tree,0.526,0.677,0.713,0.237,0.457,0.172,0.371,-0.248,-0.452,-0.022,0.732,0.533
36,prej,forest,0.658,0.442,0.684,0.227,0.176,0.125,0.045,0.372,0.525,0.109,0.809,0.211
37,prej,gradient_class,0.658,0.442,0.684,0.227,0.176,0.125,0.045,0.372,0.525,0.109,0.809,0.211
38,prej,tree,0.658,0.442,0.684,0.227,0.176,0.125,0.045,0.372,0.525,0.109,0.809,0.211
39,prej,logreg,0.658,0.442,0.684,0.227,0.176,0.125,0.045,0.372,0.525,0.109,0.809,0.211
40,cal,tree,0.557,0.473,0.676,0.307,0.557,0.163,0.0,0.478,0.552,0.202,0.781,0.0
41,cal,logreg,0.7,0.494,0.713,0.255,0.7,0.096,0.0,0.394,0.565,0.112,0.826,0.0
42,cal,gradient_class,0.712,0.462,0.701,0.235,0.712,0.099,0.0,0.371,0.531,0.106,0.824,0.0
43,cal,forest,0.599,0.458,0.68,0.277,0.599,0.144,0.0,0.441,0.526,0.177,0.794,0.0
44,adv,tree,0.0,0.0,0.5,0.0,0.0,0.198,0.0,0.0,0.0,0.0,0.757,0.0
45,adv,logreg,0.0,0.0,0.5,0.0,0.0,0.198,0.0,0.0,0.0,0.0,0.757,0.0
46,adv,gradient_class,0.0,0.0,0.5,0.0,0.0,0.198,0.0,0.0,0.0,0.0,0.757,0.0
47,adv,forest,0.0,0.0,0.5,0.0,0.0,0.198,0.0,0.0,0.0,0.0,0.757,0.0
